repository,revision,current_site,line,reference_kind,current_reference,consumer_owner,replacement_tt_transformers_contract,compatibility_shim_need,shim_duration,test_gate,cutover_order,external_status
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/deepseek_v3/tt/generator.py,17,python_import,models.common.sampling.generator,tt-metal model owner: deepseek_v3,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gemma4/demo/sampling_utils.py,10,python_import,models.common.sampling.generator,tt-metal model owner: gemma4,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gemma4/tests/unit/test_sampling.py,30,python_import,models.common.sampling.generator,tt-metal model owner: gemma4,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gemma4/tt/generator.py,12,python_import,models.common.sampling,tt-metal model owner: gemma4,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gemma4/tt/model.py,26,python_import,models.common.sampling.generator,tt-metal model owner: gemma4,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gpt_oss/demo/text_demo.py,27,python_import,models.common.sampling,tt-metal model owner: gpt_oss,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gpt_oss/tests/unit/test_sampling.py,24,python_import,models.common.sampling.generator,tt-metal model owner: gpt_oss,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gpt_oss/tests/unit/test_sampling.py,25,python_import,models.common.sampling.tt_sampling,tt-metal model owner: gpt_oss,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gpt_oss/tests/unit/test_sampling.py,516,python_import,models.common.sampling.tt_log_probs,tt-metal model owner: gpt_oss,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_log_probs,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gpt_oss/tt/model.py,9,python_import,models.common.sampling.generator,tt-metal model owner: gpt_oss,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/gpt_oss_d_p/tt/model.py,150,python_import,models.common.sampling.generator,tt-metal model owner: gpt_oss_d_p,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/demo/demo_decode.py,24,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/demo/demo_qwen_decode.py,20,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tests/test_llama_accuracy.py,14,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tests/test_llama_model.py,16,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tests/test_llama_model_nd.py,14,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tests/test_qwen_accuracy.py,18,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tests/unit_tests/test_qwen_sampling_argmax.py,21,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tests/unit_tests/test_sampling.py,16,python_import,models.common.sampling.tt_sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tt/generator.py,18,python_import,models.common.sampling,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/llama3_70b_galaxy/tt/llama_model.py,19,python_import,models.common.sampling.generator,tt-metal model owner: llama3_70b_galaxy,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/minimax_m3/tt/model.py,9,python_import,models.common.sampling.generator,tt-metal model owner: minimax_m3,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/multimodal/gemma3/demo/text_demo.py,17,python_import,models.common.sampling,tt-metal model owner: multimodal,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/multimodal/gemma3/demo/vision_demo.py,28,python_import,models.common.sampling,tt-metal model owner: multimodal,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/multimodal/gemma3/tt/gemma_e2e_model.py,10,python_import,models.common.sampling.generator,tt-metal model owner: multimodal,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/multimodal/gemma3/tt/gemma_multimodal_generator.py,20,python_import,models.common.sampling,tt-metal model owner: multimodal,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/multimodal/gemma3/tt/gemma_multimodal_generator.py,26,python_import,models.common.sampling.tt_log_probs,tt-metal model owner: multimodal,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_log_probs,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/multimodal/lfm25_vl/demo/vision_demo.py,23,python_import,models.common.sampling,tt-metal model owner: multimodal,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/qwen25_vl/demo/demo.py,16,python_import,models.common.sampling,tt-metal model owner: qwen25_vl,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/qwen3_vl/demo/demo.py,16,python_import,models.common.sampling,tt-metal model owner: qwen3_vl,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tests/test_utils.py,12,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tt/attention.py,10,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tt/embeddings.py,10,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tt/mlp.py,10,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tt/norm.py,8,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tt/tiny_model.py,10,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/demos/wormhole/bge_m3/tt/weight_adapter.py,8,python_import,models.common.modules.lazy_weight,tt-metal model owner: wormhole,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.lazy_weight,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/llama32_1b_quasar/models/generator.py,12,python_import,models.common.models.llama3_8b.model,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); refactor to the public Llama3Generator/Llama3Executor contract. EagerLlamaExecutor and TracedLlamaExecutor have no symbol-compatible standalone export.,no symbol shim: explicit experimental consumer refactor required,none,experimental Quasar generator contract test against the released standalone API,1-before-any-consumer-switch,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/ops/quasar/gpt_oss/demo/text_demo.py,27,python_import,models.common.sampling,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/ops/quasar/gpt_oss/tests/unit/test_sampling.py,24,python_import,models.common.sampling.generator,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/ops/quasar/gpt_oss/tests/unit/test_sampling.py,25,python_import,models.common.sampling.tt_sampling,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/ops/quasar/gpt_oss/tests/unit/test_sampling.py,516,python_import,models.common.sampling.tt_log_probs,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.tt_log_probs,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/ops/quasar/gpt_oss/tt/model.py,9,python_import,models.common.sampling.generator,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling.generator,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/experimental/ops/quasar/qwen3_vl/demo/demo.py,16,python_import,models.common.sampling,experimental model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/test_tttv2_validate_vllm_matrix.py,file,qualification_tool_or_contract,models/test_tttv2_validate_vllm_matrix.py,tt-metal TTTv2 qualification owners,Use tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile) with the corresponding qualification/ path from the exact standalone release; retain tt-metal copy only as a forwarding notice during overlap.,documentation/CLI forwarding notice only,one tt-metal release,standalone qualification host tests and schema validation,4-switch-ci-after-consumer-imports,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/tt_dit/utils/test.py,53,python_import,models.common.modules.tt_ccl,tt-metal repository owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.modules.tt_ccl,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/tt_transformers/demo/simple_text_demo.py,19,python_import,models.common.sampling,legacy TTTv1 model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
tt-metal,00748e6ac7b65f50e5c2af07f6e7c1c535c7f4c0,models/tt_transformers/tests/test_batched_prefill_slots.py,17,python_import,models.common.sampling,legacy TTTv1 model owners,tt-transformers==<approved-release> (exact pin plus wheel hash/lockfile); import tt_transformers.sampling,yes: temporary tt-metal old-namespace forwarding shim,one tt-metal release after every inventoried consumer is migrated,existing owner test plus clean-environment import with no tt-metal source on sys.path,3-switch-consumer-after-release,not_cut_over
