policy_id,source_path,source_line,source_qualname,source_signature,destination_path,removal_status,replacement_identity,approval_evidence,rationale
b59f5f46fb06de03963d,models/common/models/qwen3_32b/demo.py,63,device_params,"(request, galaxy_type)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::resolve_device_params,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
2072a5825d3d7050fb26,models/common/models/qwen3_32b/demo.py,83,pytestmark," = [pytest.mark.parametrize('mesh_device', [{'T3K': (1, 8)}.get(os.environ.get('MESH_DEVICE'), len(ttnn.get_device_ids()))], indirect=True), pytest.mark.parametrize('device_params', [{'fabric_config': True}], indirect=True)]",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::<module policy moved to CLI main/open_mesh_device>,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
f3e103b48204ae6b240b,models/common/models/qwen3_32b/demo.py,94,hf_model_id,(),examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::default_hf_model_id,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
1ca0cf863c5a57cd9ae3,models/common/models/qwen3_32b/demo.py,103,test_qwen3_32b_prefill_smoke,"(mesh_device, hf_model_id, seq_len: int, tmp_path_factory)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::run_qwen3_32b_prefill_smoke,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
5a51aa2e2a5c8797f124,models/common/models/qwen3_32b/demo.py,142,test_qwen3_32b_decode_one_step,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::run_qwen3_32b_decode_one_step,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
7fc6dd310d56e7028100,models/common/models/qwen3_32b/demo.py,187,test_qwen3_32b_executor_prefill_smoke,"(mesh_device, hf_model_id, seq_len: int, tmp_path_factory)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::run_qwen3_32b_executor_prefill_smoke,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
8d767908fc052a2a17ff,models/common/models/qwen3_32b/demo.py,232,test_qwen3_32b_teacher_forcing_prefill_vs_hf,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::run_qwen3_32b_teacher_forcing_prefill_vs_hf,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
bb0f5c652e1ba24a9e4a,models/common/models/qwen3_32b/demo.py,305,test_qwen3_32b_eager_traced_prefill_logits_match,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::run_qwen3_32b_eager_traced_prefill_logits_match,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
6a6f03812d37845014e3,models/common/models/qwen3_32b/demo.py,365,test_qwen3_32b_numerical_divergence_vs_hf,"(mesh_device, hf_model_id, tmp_path_factory)",examples/qwen3_32b/smoke.py;tests/hardware/models/qwen3_32b/test_smoke.py,relocated_nonpackage,examples/qwen3_32b/smoke.py::run_qwen3_32b_numerical_divergence_vs_hf,qualification/provenance/source_inventory.csv split disposition,Pytest/demo orchestration is not installed package API; behavior moved to explicit example and hardware-test owners.
812e6a927666bae21d3a,models/common/modules/attention/attention_1d.py,1377,Attention1D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, transformation_mats: dict[str, ttnn.Tensor], paged_attention_config=None, use_paged_kv_cache: bool=False)",src/tt_transformers/modules/attention/attention_1d.py,compatibility_removed,src/tt_transformers/modules/attention/attention_1d.py::Attention1D.__init__ + src/tt_transformers/modules/attention/attention_1d.py::Attention1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
fe82f739b428356353bf,models/common/modules/embedding/embedding_1d.py,153,Embedding1D.from_model_args,"(cls, mesh_device, args, weight_cache_path, state_dict, dtype, embed_scale: float=1.0)",src/tt_transformers/modules/embedding/embedding_1d.py,compatibility_removed,src/tt_transformers/modules/embedding/embedding_1d.py::Embedding1D.__init__ + src/tt_transformers/modules/embedding/embedding_1d.py::Embedding1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
86a0f357fff2eda7928e,models/common/modules/lm_head/lm_head_1d.py,170,LMHead1D.from_model_args,"(cls, mesh_device, args, state_dict, state_dict_prefix, weight_cache_path, max_columns_per_device, dtype=None, model_config=None, tt_ccl=None)",src/tt_transformers/modules/lm_head/lm_head_1d.py,compatibility_removed,src/tt_transformers/modules/lm_head/lm_head_1d.py::LMHead1D.__init__ + src/tt_transformers/modules/lm_head/lm_head_1d.py::LMHead1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
c8ce80b2c4050dd7bc74,models/common/modules/mlp/mlp_1d.py,479,MLP1D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, dtype=None, model_config=None, state_dict_prefix: Optional[str]=None, prefetcher=None)",src/tt_transformers/modules/mlp/mlp_1d.py,compatibility_removed,src/tt_transformers/modules/mlp/mlp_1d.py::MLP1D.__init__ + src/tt_transformers/modules/mlp/mlp_1d.py::MLP1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
314c27fe0d0fe0751e68,models/common/modules/mlp/mlp_2d.py,483,MLP2D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, state_dict_prefix: Optional[str]=None)",src/tt_transformers/modules/mlp/mlp_2d.py,compatibility_removed,src/tt_transformers/modules/mlp/mlp_2d.py::MLP2D.__init__ + src/tt_transformers/modules/mlp/mlp_2d.py::MLP2D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
59c1894ea33560ecc5fd,models/common/modules/rmsnorm/rmsnorm_1d.py,339,RMSNorm1D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, weight_key: str, state_dict_prefix: Optional[str]=None, sharded_program_config=None, sharded_output_config=None)",src/tt_transformers/modules/rmsnorm/rmsnorm_1d.py,compatibility_removed,src/tt_transformers/modules/rmsnorm/rmsnorm_1d.py::RMSNorm1D.__init__ + src/tt_transformers/modules/rmsnorm/rmsnorm_1d.py::RMSNorm1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
846a46dba8c5bd6f985b,models/common/modules/rmsnorm/rmsnorm_2d.py,277,RMSNorm2D.from_model_args,"(cls, mesh_device, tt_ccl, args, state_dict, weight_cache_path, layer_num: int, weight_key: str, state_dict_prefix: Optional[str]=None)",src/tt_transformers/modules/rmsnorm/rmsnorm_2d.py,compatibility_removed,src/tt_transformers/modules/rmsnorm/rmsnorm_2d.py::RMSNorm2D.__init__ + src/tt_transformers/modules/rmsnorm/rmsnorm_2d.py::RMSNorm2D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
66417cae9655b87d94de,models/common/modules/rope/rope_1d.py,251,RotarySetup1D.get_rot_idxs,"(self, position_idxs: 'torch.Tensor', on_host: bool=False) -> ttnn.Tensor",src/tt_transformers/modules/rope/rope_1d.py,compatibility_removed,src/tt_transformers/modules/rope/rope_1d.py::prepare_rot_idxs,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
bac1077a615bc3659399,models/common/modules/rope/rope_1d.py,255,RotarySetup1D.get_rot_mats,"(self, position_idxs: 'Union[torch.Tensor, ttnn.Tensor]', return_rot_idxs: bool=False) -> 'Union[List[ttnn.Tensor], Tuple[List[ttnn.Tensor], ttnn.Tensor]]'",src/tt_transformers/modules/rope/rope_1d.py,compatibility_removed,src/tt_transformers/modules/rope/rope_1d.py::prepare_rot_idxs + src/tt_transformers/modules/rope/rope_1d.py::RotarySetup1D.decode_forward,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
28218728e37ce56c1330,models/common/modules/rope/rope_1d.py,280,RotarySetup1D.from_model_args,"(cls, device: Any, args, model_name: str='unknown')",src/tt_transformers/modules/rope/rope_1d.py,compatibility_removed,src/tt_transformers/modules/rope/rope_1d.py::RotarySetup1D.__init__ + src/tt_transformers/modules/rope/rope_1d.py::RotarySetup1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
d96c0a1a69913281a330,models/common/modules/sampling/penalties_1d.py,148,Penalties1D.from_model_args,"(cls, mesh_device, args) -> Penalties1D",src/tt_transformers/modules/sampling/penalties_1d.py,compatibility_removed,src/tt_transformers/modules/sampling/penalties_1d.py::Penalties1D.__init__ + src/tt_transformers/modules/sampling/penalties_1d.py::Penalties1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
3c325e3e023e004168ab,models/common/modules/sampling/sampling_1d.py,674,Sampling1D.from_model_args,"(cls, mesh_device, tt_ccl, args, model_config=None) -> Sampling1D",src/tt_transformers/modules/sampling/sampling_1d.py,compatibility_removed,src/tt_transformers/modules/sampling/sampling_1d.py::Sampling1D.__init__ + src/tt_transformers/modules/sampling/sampling_1d.py::Sampling1D.from_config,qualification/extraction/foundation_boundary.md,Legacy compatibility surface approved for removal; the replacement identity is recorded in public_api_removals.csv.
